Geneid	Chr	Start	End	Strand	Length	Female.ovary_1Aligned.sortedByCoord.out.bam	Female.ovary_2Aligned.sortedByCoord.out.bam	Female.ovary_3Aligned.sortedByCoord.out.bam	Female.ovary_4Aligned.sortedByCoord.out.bam	Female.ovary_5Aligned.sortedByCoord.out.bam	Female.brain_1Aligned.sortedByCoord.out.bam	Female.brain_2Aligned.sortedByCoord.out.bam	Female.brain_3Aligned.sortedByCoord.out.bam	Female.brain_4Aligned.sortedByCoord.out.bam	Female_embryonic_brain_1Aligned.sortedByCoord.out.bam	Female_embryonic_brain_2Aligned.sortedByCoord.out.bam	Male.testis_1Aligned.sortedByCoord.out.bam	Male.testis_2Aligned.sortedByCoord.out.bam	Male.testis_3Aligned.sortedByCoord.out.bam
droNovLTR8.inc 4101 4944	chrZ	1	861	+	861	3	2	0	3	0	3	1	1	3	1	0	1	4	1
droNovLTRL12a_LTR 219 410	chrZ	6120	6312	+	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_I 1621 2893	chrZ	8275	9651	+	1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGERVL18-int 4074 4324	chrZ	10266	10514	+	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_I 2318 3261	chrZ	10713	11659	+	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calAnn4-97.inc 1160 1224	chrZ	29591	29659	+	69	0	0	1	0	3	0	0	0	0	0	0	1	0	0
strHab6-2525.inc 5 44	chrZ	77370	77409	+	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strHab6-2525.inc 103 183	chrZ	77425	77505	+	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strHab6-2525.inc 901 991	chrZ	77607	77701	+	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strHab6-2525.inc 597 829	chrZ	77752	77975	+	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lb_droNov_LTR 731 939	chrZ	81548	81757	-	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRK2b_I 1409 1541	chrZ	81694	81813	-	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR11-Lb_droNov_LTR 610 784	chrZ	81805	81986	-	182	0	0	0	0	0	0	1	4	0	0	0	1	0	1
TguLTRK5d 253 331	chrZ	213000	213081	+	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
