Geneid	Chr	Start	End	Strand	Length	Female.ovary_1Aligned.sortedByCoord.out.bam	Female.ovary_2Aligned.sortedByCoord.out.bam	Female.ovary_3Aligned.sortedByCoord.out.bam	Female.ovary_4Aligned.sortedByCoord.out.bam	Female.ovary_5Aligned.sortedByCoord.out.bam	Female.brain_1Aligned.sortedByCoord.out.bam	Female.brain_2Aligned.sortedByCoord.out.bam	Female.brain_3Aligned.sortedByCoord.out.bam	Female.brain_4Aligned.sortedByCoord.out.bam	Female_embryonic_brain_1Aligned.sortedByCoord.out.bam	Female_embryonic_brain_2Aligned.sortedByCoord.out.bam	Male.testis_1Aligned.sortedByCoord.out.bam	Male.testis_2Aligned.sortedByCoord.out.bam	Male.testis_3Aligned.sortedByCoord.out.bam
droNovLTRL1_LTR 1 408	chr1	150555	150916	+	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL1_LTR 57 516	chr1	152093	152174	+	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR4.inc 3406 3764	chr1	212102	212478	+	377	6	3	1	0	1	1	5	0	1	8	1	0	2	0
droNov5-3049.inc 1225 1378	chr1	213520	213678	+	159	0	0	1	0	0	0	0	0	3	2	0	0	0	0
droNov5-3049.inc 1310 1892	chr1	213711	214318	+	608	0	2	0	0	0	0	1	0	0	0	0	0	0	0
droNovLTR4.inc 1491 1587	chr1	214910	215002	+	93	0	3	0	0	3	1	1	0	1	4	10	1	0	0
droNovLTRL9_LTR 645 689	chr1;chr1;chr1	226602;233503;240387	226646;233547;240431	+;+;+	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL8_LTR 1 720	chr1	353640	354292	-	653	1	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 269 571	chr1	425392	425675	+	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL2_LTR 258 485	chr1	436149	436354	-	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
