Geneid	Chr	Start	End	Strand	Length	Female.ovary_1Aligned.sortedByCoord.out.bam	Female.ovary_2Aligned.sortedByCoord.out.bam	Female.ovary_3Aligned.sortedByCoord.out.bam	Female.ovary_4Aligned.sortedByCoord.out.bam	Female.ovary_5Aligned.sortedByCoord.out.bam	Female.brain_1Aligned.sortedByCoord.out.bam	Female.brain_2Aligned.sortedByCoord.out.bam	Female.brain_3Aligned.sortedByCoord.out.bam	Female.brain_4Aligned.sortedByCoord.out.bam	Female_embryonic_brain_1Aligned.sortedByCoord.out.bam	Female_embryonic_brain_2Aligned.sortedByCoord.out.bam	Male.testis_1Aligned.sortedByCoord.out.bam	Male.testis_2Aligned.sortedByCoord.out.bam	Male.testis_3Aligned.sortedByCoord.out.bam
droNovLTRL1_LTR 1 279	chrW	19828	20078	+	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12b_I 1616 2857	chrW	26040	27322	+	1283	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ERV3-3_StHa-I 1229 1544	chrW	27953	28267	+	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13a_LTR 40 430	chrW	37624	38014	-	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL5_LTR 496 768	chrW	38080	38323	-	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR8.inc 4352 4830	chrW	50934	51365	+	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTR3_LTR 7 965	chrW	94453	94957	+	505	0	0	0	0	1	0	1	0	0	0	0	0	0	0
droNovLTR3_LTR 966 1052	chrW	95342	95385	+	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL13a_LTR 1 253	chrW	96269	96519	-	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRK2b_I 1 1256	chrW	124589	125827	+	1239	327	479	120	274	128	1	6	2	2	2	3	0	0	0
droNovLTRK2b_I 1257 2894	chrW	125863	127483	+	1621	642	943	245	501	222	2	2	2	1	3	1	0	1	0
droNovLTRK2b_I 3196 3420	chrW	127491	127713	+	223	27	39	2	15	7	1	0	0	0	0	2	0	0	0
droNovLTRL9_LTR 190 304	chrW	167904	168020	+	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL9_LTR 190 300	chrW	176206	176318	+	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
droNovLTRL12a_I 1 2178	chrW	191619	193605	+	1987	0	1	1	0	0	0	0	0	1	0	0	0	0	0
ERV3-18_PMaj-I 1973 4304	chrW	200658	202945	+	2288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
